,label id,issue label,dx,dy,lng,lat
53,213235,SurfaceProblem,-25.491905406440296,195.04935861310656,-122.3533706665,47.6877746582
54,213239,SurfaceProblem,-56.366025228169555,192.07680538224741,-122.3537826538,47.6877479553
55,213240,SurfaceProblem,-96.95977494869642,171.26895503131988,-122.3543243408,47.6875610352
56,219280,SurfaceProblem,-1.47869860262316,113.09187519794614,-122.3530502319,47.6870384216
57,219279,SurfaceProblem,21.391013954756637,101.20167340665732,-122.3527450562,47.6869316101
58,219285,SurfaceProblem,-58.08125535670085,99.92772202245538,-122.353805542,47.686920166
59,219284,SurfaceProblem,-44.93116520297056,96.95516879159624,-122.3536300659,47.6868934631
60,219283,SurfaceProblem,-28.350622286260833,100.35237248411968,-122.3534088135,47.6869239807
61,213187,SurfaceProblem,257.5208633747169,98.65377063746247,-122.3495941162,47.6869087219
62,213189,SurfaceProblem,315.8386427621778,99.07842109912677,-122.348815918,47.6869125366
63,83848,NoCurbRamp,35.39871917328505,177.00173069652763,-122.352558136,47.6876125336
64,219277,NoCurbRamp,39.49620837192304,109.55312877323007,-122.3525034587,47.6870066325
65,198598,NoCurbRamp,30.967711756285308,16.059317096274967,-122.3526172638,47.6861667633
66,12193,NoCurbRamp,37.59039961638208,-53.65407986674574,-122.35252889,47.6855405172
67,12210,NoCurbRamp,40.544409556749024,-135.11613588886266,-122.3524894714,47.6848087311
68,201281,NoCurbRamp,49.02525964264603,-147.64331893753533,-122.3523763021,47.6846961975
69,201296,NoCurbRamp,-179.29076113997442,-134.90381622370887,-122.3554229736,47.6848106384
70,198611,NoCurbRamp,52.26514127163399,-64.19956447301921,-122.3523330688,47.6854457855
71,12213,NoCurbRamp,49.78758164583279,-132.21435959017367,-122.3523661296,47.6848347982
72,215734,NoCurbRamp,37.82862477419742,-146.47553295198415,-122.3525257111,47.6847066879
73,201271,NoCurbRamp,240.94031296392407,-142.54751339914566,-122.3498153687,47.6847419739
74,213228,NoCurbRamp,35.11284748572898,192.5014558439117,-122.3525619507,47.68775177
75,198585,NoCurbRamp,-304.21659886786676,14.785365711282063,-122.3570899963,47.6861553192
76,201270,NoCurbRamp,243.22728646863243,-133.62986483950695,-122.3497848511,47.6848220825
77,198612,NoCurbRamp,50.16874639500022,-54.786488519546026,-122.3523610433,47.6855303446
78,6080,NoCurbRamp,29.395421219106098,18.182569403805505,-122.3526382446,47.6861858368
79,6087,NoCurbRamp,43.40311894355137,15.210016172946364,-122.3524513245,47.6861591339
80,201280,NoCurbRamp,49.02525964264603,-141.98132020528874,-122.3523763021,47.6847470601
81,219275,NoCurbRamp,21.581600076914402,109.83622536976304,-122.352742513,47.6870091756
82,213231,NoCurbRamp,27.68019109163976,177.2140503608904,-122.3526611328,47.6876144409
83,192413,NoCurbRamp,-157.56452783980075,109.27003217590612,-122.3551330566,47.6870040894
84,201276,NoCurbRamp,230.64893969001426,-130.6573116086478,-122.3499526978,47.6848487854
