,label id,issue label,dx,dy,lng,lat
363,180916,SurfaceProblem,-669.7211300810544,-456.98715947215845,-122.3267822266,47.6550598145
364,180937,SurfaceProblem,-762.9632082423403,-375.4543376500191,-122.3280258179,47.6557922363
365,180938,SurfaceProblem,-761.8191328353279,-366.961328419897,-122.3280105591,47.6558685303
366,180939,SurfaceProblem,-764.1072836493529,-349.9753210902185,-122.3280410767,47.6560211182
367,180942,SurfaceProblem,-747.5181977509393,-255.70298542289592,-122.3278198242,47.656867981
368,180868,SurfaceProblem,-418.02472056559174,-29.7891068685181,-122.323425293,47.6588973999
369,180867,SurfaceProblem,-397.4313782416407,-31.912359176048636,-122.3231506348,47.6588783264
370,180864,SurfaceProblem,-389.9948880981901,28.812612295163184,-122.3230514526,47.6594238281
371,180870,SurfaceProblem,-464.9317747495501,-28.090505022651865,-122.3240509033,47.6589126587
372,6797,SurfaceProblem,-415.1645320491258,109.07149386445737,-122.323387146,47.6601448059
373,186043,SurfaceProblem,-786.4167315848163,93.7840883806451,-122.328338623,47.6600074768
374,70444,SurfaceProblem,-714.3400334509876,93.7840883806451,-122.3273773193,47.6600074768
375,54244,SurfaceProblem,-619.9538798826892,67.8804324913279,-122.3261184692,47.6597747803
376,180954,SurfaceProblem,-784.7006259733039,-128.732597613357,-122.3283157349,47.6580085754
377,69846,NoCurbRamp,-462.21459940713214,-15.987972434852514,-122.3240146637,47.6590213776
378,69842,NoCurbRamp,-470.65215178248184,110.3454452486593,-122.3241271973,47.66015625
379,20095,NoCurbRamp,-460.9275183240126,110.77009571032362,-122.3239974976,47.6601600647
380,20083,NoCurbRamp,-541.0127368068571,112.46869755618985,-122.3250656128,47.6601753235
381,15222,NoCurbRamp,-926.5658714280015,382.121540252101,-122.3302078247,47.6625976562
382,54131,NoCurbRamp,-932.2862484619989,388.91594763635686,-122.3302841187,47.6626586914
383,16871,NoCurbRamp,-1008.9392407248712,377.87504676918763,-122.3313064575,47.6625595093
384,7276,NoCurbRamp,-829.033510492017,253.24021979939434,-122.3289070129,47.6614398956
385,15257,NoCurbRamp,-784.1285882697975,252.60324967336726,-122.3283081055,47.6614341736
386,7250,NoCurbRamp,-839.3301816539922,387.64199625215497,-122.329044342,47.6626472473
387,15236,NoCurbRamp,-778.4082112368659,377.87504676918763,-122.3282318115,47.6625595093
388,53866,NoCurbRamp,-777.8361735333596,389.7652485596855,-122.3282241821,47.6626663208
389,53922,NoCurbRamp,-929.9980976479737,118.41379288576037,-122.3302536011,47.6602287292
